regiao;estado;coduf;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos
Norte;RO;11;13/12/2020;51;1777225;85854;444;1642;4
Norte;AC;12;13/12/2020;51;881935;38412;49;750;1
Norte;AM;13;13/12/2020;51;4144597;186828;554;5001;3
Norte;RR;14;13/12/2020;51;605761;66407;186;755;0
Norte;PA;15;13/12/2020;51;8602865;280272;672;6998;9
Norte;AP;16;13/12/2020;51;845731;63313;271;849;0
Norte;TO;17;13/12/2020;51;1572866;85385;113;1201;3
Nordeste;MA;21;13/12/2020;51;7075181;197056;50;4380;5
Nordeste;PI;22;13/12/2020;51;3273227;134717;288;2722;2
Nordeste;CE;23;13/12/2020;51;9132078;315913;1239;9784;10
Nordeste;RN;24;13/12/2020;51;3506853;103916;1070;2796;6
Nordeste;PB;25;13/12/2020;51;4018127;153649;93;3439;9
Nordeste;PE;26;13/12/2020;51;9557071;198684;258;9284;13
Nordeste;AL;27;13/12/2020;51;3337357;98612;435;2376;4
Nordeste;SE;28;13/12/2020;51;2298696;99151;679;2365;4
Nordeste;BA;29;13/12/2020;51;14873064;444661;1196;8610;21
Sudeste;MG;31;13/12/2020;51;21168791;468023;3478;10701;56
Sudeste;ES;32;13/12/2020;51;4018650;212304;312;4560;1
Sudeste;RJ;33;13/12/2020;51;17264943;389125;694;23722;4
Sudeste;SP;35;13/12/2020;51;45919049;1334703;940;44018;47
Sul;PR;41;13/12/2020;51;11433957;329782;2483;6764;4
Sul;SC;42;13/12/2020;51;7164788;427401;1306;4365;31
Sul;RS;43;13/12/2020;51;11377239;376590;3891;7587;9
CentroOeste;MS;50;13/12/2020;51;2778986;113298;422;1931;18
CentroOeste;MT;51;13/12/2020;51;3484466;166111;240;4202;8
CentroOeste;GO;52;13/12/2020;51;7018354;292689;0;6534;0
CentroOeste;DF;53;13/12/2020;51;3015268;239096;462;4066;7
