date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-12-13,AL,Água Branca,city,109,4,True,20230,2700102,538.80376,0.0367
2020-12-13,AL,Anadia,city,518,9,True,17526,2700201,2955.60881,0.0174
2020-12-13,AL,Arapiraca,city,13309,175,True,233047,2700300,5710.86519,0.0131
2020-12-13,AL,Atalaia,city,650,24,True,47365,2700409,1372.32133,0.0369
2020-12-13,AL,Barra de Santo Antônio,city,141,14,True,16068,2700508,877.52054,0.0993
2020-12-13,AL,Barra de São Miguel,city,175,5,True,8378,2700607,2088.80401,0.0286
2020-12-13,AL,Batalha,city,625,11,True,18338,2700706,3408.22336,0.0176
2020-12-13,AL,Belém,city,64,2,True,4284,2700805,1493.93091,0.0312
2020-12-13,AL,Belo Monte,city,183,4,True,6710,2700904,2727.27273,0.0219
2020-12-13,AL,Boca da Mata,city,1263,25,True,27356,2701001,4616.90306,0.0198
2020-12-13,AL,Branquinha,city,273,6,True,10460,2701100,2609.94264,0.022
2020-12-13,AL,Cacimbinhas,city,315,3,True,10889,2701209,2892.82762,0.0095
2020-12-13,AL,Cajueiro,city,379,15,True,21331,2701308,1776.75683,0.0396
2020-12-13,AL,Campestre,city,98,3,True,6954,2701357,1409.26086,0.0306
2020-12-13,AL,Campo Alegre,city,1551,28,True,57537,2701407,2695.65671,0.0181
2020-12-13,AL,Campo Grande,city,235,7,True,9567,2701506,2456.36041,0.0298
2020-12-13,AL,Canapi,city,68,3,True,17719,2701605,383.76884,0.0441
2020-12-13,AL,Capela,city,550,7,True,16979,2701704,3239.2956,0.0127
2020-12-13,AL,Carneiros,city,101,2,True,9159,2701803,1102.74047,0.0198
2020-12-13,AL,Chã Preta,city,47,1,True,7311,2701902,642.86691,0.0213
2020-12-13,AL,Coité do Nóia,city,178,4,True,10643,2702009,1672.46077,0.0225
2020-12-13,AL,Colônia Leopoldina,city,260,9,True,21818,2702108,1191.6766,0.0346
2020-12-13,AL,Coqueiro Seco,city,311,6,True,5864,2702207,5303.54707,0.0193
2020-12-13,AL,Coruripe,city,1939,32,True,57294,2702306,3384.29853,0.0165
2020-12-13,AL,Craíbas,city,777,13,True,24309,2702355,3196.34703,0.0167
2020-12-13,AL,Delmiro Gouveia,city,1147,26,True,52262,2702405,2194.71126,0.0227
2020-12-13,AL,Dois Riachos,city,260,2,True,11067,2702504,2349.32683,0.0077
2020-12-13,AL,Estrela de Alagoas,city,211,5,True,18255,2702553,1155.84771,0.0237
2020-12-13,AL,Feira Grande,city,482,7,True,22178,2702603,2173.32492,0.0145
2020-12-13,AL,Feliz Deserto,city,100,4,True,4779,2702702,2092.48797,0.04
2020-12-13,AL,Flexeiras,city,340,7,True,12807,2702801,2654.79816,0.0206
2020-12-13,AL,Girau do Ponciano,city,1375,20,True,41237,2702900,3334.38417,0.0145
2020-12-13,AL,Ibateguara,city,445,9,True,15627,2703007,2847.6355,0.0202
2020-12-13,AL,Igaci,city,272,3,True,25613,2703106,1061.96072,0.011
2020-12-13,AL,Igreja Nova,city,592,7,True,24586,2703205,2407.8744,0.0118
2020-12-13,AL,Importados/Indefinidos,city,8,8,True,,,,1.0
2020-12-13,AL,Inhapi,city,76,3,True,18392,2703304,413.22314,0.0395
2020-12-13,AL,Jacaré dos Homens,city,123,1,True,5219,2703403,2356.77333,0.0081
2020-12-13,AL,Jacuípe,city,64,2,True,7006,2703502,913.50271,0.0312
2020-12-13,AL,Japaratinga,city,170,5,True,8403,2703601,2023.08699,0.0294
2020-12-13,AL,Jaramataia,city,61,1,True,5761,2703700,1058.84395,0.0164
2020-12-13,AL,Jequiá da Praia,city,389,9,True,11536,2703759,3372.0527,0.0231
2020-12-13,AL,Joaquim Gomes,city,594,16,True,24081,2703809,2466.67497,0.0269
2020-12-13,AL,Jundiá,city,48,3,True,4137,2703908,1160.26106,0.0625
2020-12-13,AL,Junqueiro,city,585,20,True,24722,2704005,2366.31341,0.0342
2020-12-13,AL,Lagoa da Canoa,city,595,12,True,17771,2704104,3348.15148,0.0202
2020-12-13,AL,Limoeiro de Anadia,city,559,15,True,28771,2704203,1942.92864,0.0268
2020-12-13,AL,Maceió,city,32894,1042,True,1025360,2704302,3208.044,0.0317
2020-12-13,AL,Major Isidoro,city,444,8,True,19864,2704401,2235.19936,0.018
2020-12-13,AL,Maragogi,city,520,16,True,33032,2704500,1574.23105,0.0308
2020-12-13,AL,Maravilha,city,101,4,True,9004,2704609,1121.72368,0.0396
2020-12-13,AL,Marechal Deodoro,city,2859,37,True,52380,2704708,5458.19015,0.0129
2020-12-13,AL,Maribondo,city,358,13,True,13193,2704807,2713.56022,0.0363
2020-12-13,AL,Mar Vermelho,city,27,1,True,3494,2704906,772.75329,0.037
2020-12-13,AL,Mata Grande,city,213,5,True,25207,2705002,845.00337,0.0235
