ESTADO,Mortalidade,Verba/Obito
RJ,6.096,3738.2235
PE,4.672,1287.5215
SP,3.297,1390.9107
CE,3.097,1746.6578
RN,2.69,6023.1437
AM,2.676,2582.0403
MT,2.529,3043.2429
PA,2.496,2995.0628
AL,2.409,4879.5749
SE,2.385,4182.4482
MG,2.286,4551.0127
PB,2.238,5420.9275
GO,2.232,5370.6274
MA,2.222,3739.1757
ES,2.147,2962.8178
PR,2.051,5168.5518
PI,2.02,3568.5011
RS,2.014,6123.5993
AC,1.952,12038.6666
BA,1.963,4677.3982
RO,1.912,9147.1802
MS,1.704,7955.9026
DF,1.7,3395.3713
TO,1.406,8222.6727
AP,1.34,9571.2131
RR,1.136,11369.7086
SC,1.021,1750.8064
