Material;Dt.Saída;Nº Pedido;Requisitante / Destino;Unidade;Quantidade;Status
Álcool;2020-03-19;308748;Acre;Litro;9,60;Entregue
Álcool;2020-03-19;308748;Acre;Litro;42,00;Entregue
Álcool;2020-03-19;308499;Acre;Litro;12,00;Entregue
Álcool;2020-03-19;308500;Acre;Litro;12,00;Entregue
Álcool;2020-03-25;309483;Acre;Litro;48,00;Entregue
Álcool;2020-03-28;309979;Acre;Litro;19,20;Entregue
Álcool;2020-03-28;309979;Acre;Litro;18,00;Entregue
Álcool;2020-03-31;310553;Acre;Litro;132,00;Entregue
Álcool;2020-04-10;311433;Acre;Litro;12,60;Entregue
Álcool;2020-04-15;311873;Acre;Litro;5,00;Entregue
Álcool;2020-04-15;311873;Acre;Litro;4,00;Entregue
Álcool;2020-04-15;311873;Acre;Litro;153,50;Entregue
Álcool;2020-04-23;312962;Acre;Litro;798,00;Entregue
Álcool;2020-04-30;313999;Acre;Litro;1068,00;Entregue
Álcool;2020-05-14;315513;Acre;Litro;96,00;Entregue
Álcool;2020-03-19;308752;Alagoas;Litro;28,80;Entregue
Álcool;2020-03-19;308752;Alagoas;Litro;156,00;Entregue
Álcool;2020-03-19;308531;Alagoas;Litro;12,00;Entregue
Álcool;2020-03-25;309488;Alagoas;Litro;28,80;Entregue
Álcool;2020-03-25;309488;Alagoas;Litro;156,00;Entregue
Álcool;2020-03-28;309983;Alagoas;Litro;86,40;Entregue
Álcool;2020-03-28;309983;Alagoas;Litro;60,00;Entregue
Álcool;2020-03-31;310595;Alagoas;Litro;270,00;Entregue
Álcool;2020-04-10;311343;Alagoas;Litro;42,00;Entregue
Álcool;2020-04-15;311874;Alagoas;Litro;15,00;Entregue
Álcool;2020-04-15;311874;Alagoas;Litro;12,00;Entregue
Álcool;2020-04-15;311874;Alagoas;Litro;481,00;Entregue
Álcool;2020-04-23;312973;Alagoas;Litro;2508,00;Entregue
Álcool;2020-04-30;314000;Alagoas;Litro;3354,00;Entregue
