DATA,FORNECEDOR,DESTINO,ESTADOMUNICIPIO,TIPO,QUANTIDADE,VALOR,DESTINATARIO,UF,DATADEENTREGA
19/04/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,40,2400000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,19/04/2020
22/04/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,20,1200000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,23/04/2020
08/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,UTI,25,1500000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
08/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,15,900000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,6,360000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,1,60000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,30,1800000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,UTI,8,480000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,4,193160,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,UTI,1,60000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
16/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,10,482900,FIOCRUZ ,RJ,18/05/2020
16/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,10,482900,HOSPITAL GERAL DO BOM SUCESSO,RJ,18/05/2020
16/05/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,11,531190,SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO,RJ,18/05/2020
16/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,10,600000,FIOCRUZ ,RJ,18/05/2020
17/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,10,600000,HOSPITAL GERAL DO BOM SUCESSO,RJ,18/05/2020
17/05/2020,LEISTUNG,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO,RJ,18/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,50,1000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,25/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,26,520000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,25/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,24,480000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,25/05/2020
24/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,51,2462790,FIOCRUZ ,RJ,25/05/2020
24/05/2020,LEISTUNG/VYAIRE,RIO DE JANEIRO,ESTADO,UTI,20,1200000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,25/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,10,600000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,25/05/2020
24/05/2020,KTK/VAYIRE,RIO DE JANEIRO,ESTADO,UTI,5,300000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,25/05/2020
29/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,10,482900,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,30/05/2020
29/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,90,4346100,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,30/05/2020
29/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,30,1800000,FIOCRUZ ,RJ,30/05/2020
31/05/2020,WEG,RIO DE JANEIRO,ESTADO,UTI,15,900000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,01/06/2020
31/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,50,3000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,01/06/2020
31/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,50,3000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,01/06/2020
08/06/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,50,1000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,08/06/2020
08/06/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,50,1000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,08/06/2020
19/04/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,40,2400000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,19/04/2020
22/04/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,20,1200000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,23/04/2020
08/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,UTI,25,1500000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
08/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,15,900000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,6,360000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,1,60000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,30,1800000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,UTI,8,480000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,4,193160,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,UTI,1,60000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
16/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,10,482900,FIOCRUZ ,RJ,18/05/2020
16/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,10,482900,HOSPITAL GERAL DO BOM SUCESSO,RJ,18/05/2020
16/05/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,11,531190,SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO,RJ,18/05/2020
16/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,10,600000,FIOCRUZ ,RJ,18/05/2020
17/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,10,600000,HOSPITAL GERAL DO BOM SUCESSO,RJ,18/05/2020
17/05/2020,LEISTUNG,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO,RJ,18/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,50,1000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,25/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,26,520000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,25/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,24,480000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,25/05/2020
24/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,51,2462790,FIOCRUZ ,RJ,25/05/2020
24/05/2020,LEISTUNG/VYAIRE,RIO DE JANEIRO,ESTADO,UTI,20,1200000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,25/05/2020
24/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,10,600000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,25/05/2020
24/05/2020,KTK/VAYIRE,RIO DE JANEIRO,ESTADO,UTI,5,300000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,25/05/2020
29/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,10,482900,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,30/05/2020
29/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,90,4346100,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,30/05/2020
29/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,30,1800000,FIOCRUZ ,RJ,30/05/2020
31/05/2020,WEG,RIO DE JANEIRO,ESTADO,UTI,15,900000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,01/06/2020
31/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,50,3000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,01/06/2020
31/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,50,3000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,01/06/2020
08/06/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,50,1000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,08/06/2020
08/06/2020,KTK,RIO DE JANEIRO,ESTADO,TRANSPORTE,50,1000000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,08/06/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saœde (BELFORD ROXO),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saœde (BELFORD ROXO),RJ,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saœde (DUQUE DE CAXIAS),RJ,30/06/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saœde (DUQUE DE CAXIAS),RJ,30/06/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saœde (ITAGUAê),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saœde (ITAGUAê),RJ,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,Secretaria Municipal de Saœde (MAJƒ),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saœde (MAJƒ),RJ,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,Secretaria Municipal de Saœde (NITƒROI),RJ,30/06/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,Secretaria Municipal de Saœde (NITƒROI),RJ,30/06/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,Secretaria Municipal de Saœde (NOVA FRIBURGO),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,Secretaria Municipal de Saœde (NOVA FRIBURGO),RJ,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,Secretaria Municipal de Saœde (NOVA IGUA‚U),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,2,120000,Secretaria Municipal de Saœde (NOVA IGUA‚U),RJ,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,1,48290,Secretaria Municipal de Saœde (PARACAMBI),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saœde (PARACAMBI),RJ,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,1,48290,Secretaria Municipal de Saœde (QUEIMADOS),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,1,60000,Secretaria Municipal de Saœde (QUEIMADOS),RJ,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,4,193160,Secretaria Municipal de Saœde (RIO BONITO),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,4,240000,Secretaria Municipal de Saœde (RIO BONITO),RJ,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,8,386320,Secretaria Municipal de Saœde (SÌO JOÌO DO MERETI),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,7,420000,Secretaria Municipal de Saœde (SÌO JOÌO DO MERETI),RJ,02/07/2020
26/06/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,Secretaria Municipal de Saœde (VOLTA REDONDA),RJ,02/07/2020
26/06/2020,KTK,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,Secretaria Municipal de Saœde (VOLTA REDONDA),RJ,02/07/2020
07/07/2020,WEG,RIO DE JANEIRO,MUNICIPIO,UTI,10,600000,Hospital Doutor Luiz Palmier,RJ,10/07/2020
07/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,10,482900,Hospital Doutor Luiz Palmier,RJ,10/07/2020
07/07/2020,WEG,RIO DE JANEIRO,MUNICIPIO,UTI,40,2400000,HOSPITAL DE CAMPANHA COVID 19 SAO GONCALO,RJ,10/07/2020
07/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,40,1931600,HOSPITAL DE CAMPANHA COVID 19 SAO GONCALO,RJ,10/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,CARAPEBUS - Secretaria Municipal de Saœde,RJ,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,CASIMIRO DE ABREU - Secretaria Municipal de Saœde,RJ,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,GUAPIMIRIM - Secretaria Municipal de Saœde,RJ,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,ITABORAê - Secretaria Municipal de Saœde,RJ,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,MANGARATIBA - Secretaria Municipal de Saœde,RJ,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,5,241450,RESENDE - Secretaria Municipal de Saœde,RJ,15/07/2020
10/07/2020,VYAIRE,RIO DE JANEIRO,MUNICIPIO,UTI,5,300000,RESENDE - Secretaria Municipal de Saœde,RJ,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,RIO BONITO - Secretaria Municipal de Saœde,RJ,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,2,96580,RIO DAS OSTRAS - Secretaria Municipal de Saœde,RJ,15/07/2020
10/07/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,3,144870,SÌO JOÌO DA BARRA - Secretaria Municipal de Saœde,RJ,15/07/2020
